,Review,Review_only_text,neg,pos,neu,compound,Negative,Positive
30,I bought this for my kegerator to maintain the ideal temperature for my keg. Easy installation and i love the programming options.  I had to look up a do it yourself video on YouTube to better understand the program settings but i had everything installed and programmed in about 15 minutes. Now my beer is kept at the ideal temperatures of 34 to 36 degrees.,I bought this for my kegerator to maintain the ideal temperature for my keg Easy installation and i love the programming options I had to look up a do it yourself video on YouTube to better understand the program settings but i had everything installed and programmed in about minutes Now my beer is kept at the ideal temperatures of to degrees,0.0,0.195,0.805,0.9062,False,True
31,"Finished my kegerator build this week, and this was a critical component, because my mini-fridge has settings all the way from freezing to freaking frozen. It now maintains a range from 39 to 41 F perfectly, and was easy to program after a few minutes of quality time with a homebrew and the instructions. I may widen the temperature range a bit to put less wear & tear on the compressor, but that's a tweak anyone with a converted fridge has the option to make. The unit is (I think) nice and compact, too, allowing for a few drill holes and zip ties to hide it and its cord behind the kegerator with no trouble. Highly recommended!",Finished my kegerator build this week and this was a critical component because my mini fridge has settings all the way from freezing to freaking frozen It now maintains a range from to F perfectly and was easy to program after a few minutes of quality time with a homebrew and the instructions I may widen the temperature range a bit to put less wear tear on the compressor but that s a tweak anyone with a converted fridge has the option to make The unit is I think nice and compact too allowing for a few drill holes and zip ties to hide it and its cord behind the kegerator with no trouble Highly recommended,0.112,0.09,0.798,-0.1412,True,False
32,"Easy to configure, does what it should, provides or kills power to electronics based on temperature.Only complaint I'd have is the instruction book is important to keep around as the screen uses codes that you're likely to forget with how infrequently you have to fiddle with this.It retains settings through power outtages which is a big plus!",Easy to configure does what it should provides or kills power to electronics based on temperature Only complaint I d have is the instruction book is important to keep around as the screen uses codes that you re likely to forget with how infrequently you have to fiddle with this It retains settings through power outtages which is a big plus,0.124,0.074,0.802,-0.4926,True,False
33,"Workes perfect to maintain the temperature on any freezer/ fridge. Many people use this to convert a chest freezer to a kegerator, so that the beer doesnt freeze. This is truly a plug and play device. Only a few settings. THe instructions are not really the best, but google it and there are plenty of tutorials. I have used it to ferment beer in a chest freezer, and then later use it to keep it around 40 degrees for my kegs. Its perfect. There are cheaper options, but most require you to wire them to a sensor and power source. So, if you dont want to do that and spend a few more bucks, buy this. Its perfect.",Workes perfect to maintain the temperature on any freezer fridge Many people use this to convert a chest freezer to a kegerator so that the beer doesnt freeze This is truly a plug and play device Only a few settings THe instructions are not really the best but google it and there are plenty of tutorials I have used it to ferment beer in a chest freezer and then later use it to keep it around degrees for my kegs Its perfect There are cheaper options but most require you to wire them to a sensor and power source So if you dont want to do that and spend a few more bucks buy this Its perfect,0.038,0.131,0.831,0.9247,False,True
34,"I more recently built a solar water heating box for my pond out of irrigation drip line. I'm using this product to turn the water pump off when the water hits a curtain temperature. the great part is the Johnson Controls Digital Thermostat Control Unit will not turn back on until the temperature drops 5 degrees, so that means once the water hits temperature its not constantly turning on then off, on then off..... one more great thing is that it holds the programmed memory when it get unplugged.",I more recently built a solar water heating box for my pond out of irrigation drip line I m using this product to turn the water pump off when the water hits a curtain temperature the great part is the Johnson Controls Digital Thermostat Control Unit will not turn back on until the temperature drops degrees so that means once the water hits temperature its not constantly turning on then off on then off one more great thing is that it holds the programmed memory when it get unplugged,0.0,0.09,0.91,0.8481,False,True
35,"Best Thermostat Control Unit I've bought. Easy to use, all I had to do was to set the temperature that I wanted to be at and set the difference temperature setting. That's all I did and the controller does the rest. The controller controls the compressor going on and off. Also, I set the freezer thermostat controller to where the compressor will activate at my set temperature, from there the Johnson control would get the compressor to come on. Tried other controllers, but this is the best one that is easy and reliable.",Best Thermostat Control Unit I ve bought Easy to use all I had to do was to set the temperature that I wanted to be at and set the difference temperature setting That s all I did and the controller does the rest The controller controls the compressor going on and off Also I set the freezer thermostat controller to where the compressor will activate at my set temperature from there the Johnson control would get the compressor to come on Tried other controllers but this is the best one that is easy and reliable,0.0,0.143,0.857,0.9349,False,True
36,"The unit arrived on the 4th day after I ordered it (ordered on Sunday evening), that seemed pretty fast. I had read some of the reviews on the product and had a good understanding of the set up procedure. I had it connected to my 4.6cf fermentation frig in about 5 min. I have been observing the temperatures for the past 24 hrs using the Johnson control, and a second electronic thermometer, it is right on!!! The Johnson Control will allow me to have total control of the fermentation temperature of my beer and that is one of the most critical parts of home brewing. If you are a home brewer this is a must in the warmer states like Texas!",The unit arrived on the th day after I ordered it ordered on Sunday evening that seemed pretty fast I had read some of the reviews on the product and had a good understanding of the set up procedure I had it connected to my cf fermentation frig in about min I have been observing the temperatures for the past hrs using the Johnson control and a second electronic thermometer it is right on The Johnson Control will allow me to have total control of the fermentation temperature of my beer and that is one of the most critical parts of home brewing If you are a home brewer this is a must in the warmer states like Texas,0.021,0.113,0.866,0.8827,False,True
37,I was skeptical buying this because it wasn't cheap but works awesome!!! i bought an inexpensive dual tap kegerator and without this the temperature was impossible to regulate. It would swing almost 10 degrees. This solves the problem. Turn thermostat on maximum cold and adjust this for precise temperature. It is something like 5 degrees off from my  cheap wireless thermometer I bought but I'm certain its the thermometer thats off and not this unit. Buy it!,I was skeptical buying this because it wasn t cheap but works awesome i bought an inexpensive dual tap kegerator and without this the temperature was impossible to regulate It would swing almost degrees This solves the problem Turn thermostat on maximum cold and adjust this for precise temperature It is something like degrees off from my cheap wireless thermometer I bought but I m certain its the thermometer thats off and not this unit Buy it,0.059,0.179,0.762,0.9115,False,True
38,"Works Perfectly! at first I was a little confused as to how to set it up to work on a Keezer build, but after reading the manual, It was pretty easy. It comes set up for heating applications, so if you plug it in right out of the box, it wont do anything but click on and off rapidly. You just have to unscrew the plastic casing and move a jumper over so it is connecting the correct pins.once that is done, setting it to the correct temp is really easy. If I ever need to build another Keezer, I will no doubt purchase again.",Works Perfectly at first I was a little confused as to how to set it up to work on a Keezer build but after reading the manual It was pretty easy It comes set up for heating applications so if you plug it in right out of the box it wont do anything but click on and off rapidly You just have to unscrew the plastic casing and move a jumper over so it is connecting the correct pins once that is done setting it to the correct temp is really easy If I ever need to build another Keezer I will no doubt purchase again,0.066,0.13,0.804,0.8533,False,True
39,"I bought this product for my chest freezer that I was converting into a kegerator / keezer. It controls the temperature of the freezer, allowing me to keep the temperature at a perfect serving temperature. The included instructions are a bit confusing, but there are plenty of posts our on [...] about ideal settings for this device.Installing and connecting the device could have not been easier... it's pretty much plug-and-play until you start messing with the settings. It's compact without being too small.  The cables on the control unit are long enough for multiple mounting locations.",I bought this product for my chest freezer that I was converting into a kegerator keezer It controls the temperature of the freezer allowing me to keep the temperature at a perfect serving temperature The included instructions are a bit confusing but there are plenty of posts our on [ ] about ideal settings for this device Installing and connecting the device could have not been easier it s pretty much plug and play until you start messing with the settings It s compact without being too small The cables on the control unit are long enough for multiple mounting locations,0.015,0.114,0.871,0.8957,False,True
40,"Im using this for a large (7qt) slow cooker based sous-vide. I've only done steaks so far, but they come out perfectly cooked. I cook for an hour or so after stable temp (125) and then sear on 800(ish) degree cast iron.",Im using this for a large qt slow cooker based sous vide I ve only done steaks so far but they come out perfectly cooked I cook for an hour or so after stable temp and then sear on ish degree cast iron,0.0,0.192,0.808,0.8755,False,True
41,"I was having trouble with beer freezing in my kegerator in the winter months. Not anymore. The directions are a bit obscure -- I had to go online and watch videos to make sure I had it set up properly. There are plenty of videos and discussions online about the proper use, though.  In the end, I did not have to alter the factory jumper settings to get it to work. Have been using it for a month now without trouble. Maintains the temperature within the specified range.",I was having trouble with beer freezing in my kegerator in the winter months Not anymore The directions are a bit obscure I had to go online and watch videos to make sure I had it set up properly There are plenty of videos and discussions online about the proper use though In the end I did not have to alter the factory jumper settings to get it to work Have been using it for a month now without trouble Maintains the temperature within the specified range,0.078,0.026,0.896,-0.5423,True,False
42,"It works reliably and effectively.  The only reason I don't give it the top rating is that it is based on grossly obsolete technology.  I.e., to reset the device from the default cooling control to heating control, one must open the device with a screwdriver, which the instructions don't tell you, and you must move jumpers among circuit board pins.  This is the way circuit boards were controlled 30 and 40 years ago.  Were I not as old as I am, I would not have known what the instructions were talking about, when referencing pins and jumpers.  In fact, I showed the instructions to some young co-workers, and they were mystified by the instructions.",It works reliably and effectively The only reason I don t give it the top rating is that it is based on grossly obsolete technology I e to reset the device from the default cooling control to heating control one must open the device with a screwdriver which the instructions don t tell you and you must move jumpers among circuit board pins This is the way circuit boards were controlled and years ago Were I not as old as I am I would not have known what the instructions were talking about when referencing pins and jumpers In fact I showed the instructions to some young co workers and they were mystified by the instructions,0.036,0.053,0.911,0.2263,False,True
43,Great controller. Not sure about how the quality compares to others that are cheaper.This is a high end controller. Cant go wrong with this one but you may be able to save some money and get something cheaper that might work as well.I have purchased three of these and couldnt be happier.,Great controller Not sure about how the quality compares to others that are cheaper This is a high end controller Can t go wrong with this one but you may be able to save some money and get something cheaper that might work as well I have purchased three of these and couldn t be happier,0.058,0.188,0.754,0.8726,False,True
44,"This does exactly what you want it to do, so 4 stars for that.I'm not willing to give it five stars because it is not very user friendly.  I had to take it apart to adjust two jumpers to use it with a fermentation heater.  While one jumper was for heating vs. cooling, it wasn't obvious from the instructions how the other needed to be set and so I had to consult Google to be sure.  While I had it open, the insides shifted around slightly, which made putting it back together more challenging than it needed to be.As you can see from the pictures, this is a piece of industrial equipment.  It looks like something that you would find in a factory (which probably explains why it is not user friendly).  If you have it in the basement like me then it is no problem, but if it's in your living space, you might need to hide it.",This does exactly what you want it to do so stars for that I m not willing to give it five stars because it is not very user friendly I had to take it apart to adjust two jumpers to use it with a fermentation heater While one jumper was for heating vs cooling it wasn t obvious from the instructions how the other needed to be set and so I had to consult Google to be sure While I had it open the insides shifted around slightly which made putting it back together more challenging than it needed to be As you can see from the pictures this is a piece of industrial equipment It looks like something that you would find in a factory which probably explains why it is not user friendly If you have it in the basement like me then it is no problem but if it s in your living space you might need to hide it,0.047,0.049,0.904,-0.1706,True,False
45,Works great but setup is not entirely intuitive.  I use is to control the temperature in a keezer I built for my brother.  If this is your intended use make sure the thermometer is at the bottom of the keezer.  Otherwise you may freeze the whole keg.,Works great but setup is not entirely intuitive I use is to control the temperature in a keezer I built for my brother If this is your intended use make sure the thermometer is at the bottom of the keezer Otherwise you may freeze the whole keg,0.0,0.142,0.858,0.7003,False,True
46,"While sold and advertised as a thermostat control for regulating cooling devices for projects like beer brewing and such, the Johnson Controls Digital Thermostat is also capable of a Heat Mode that regulates temps up to 212 Fahrenheit; this is great news for anyone that is interested in setting up their own water oven for sous vide cooking!In order to do so the unit must be set in Heat Mode (it is set to Cooling Mode by default, indicated by a small snowflake icon on the display when the unit is on), to set the thermostat into Heat Mode you are required to open the unit up with a screwdriver and rearrange 2 small pins from partially connected to fully connected. The instruction manual will show you which pins to adjust. Once the pins have been adjusted just close the unit up and plug it into whatever device you will be using as your water bath (in my case a cleaned out deep fryer), and set your desired Set Point (SP). You will notice that there is a little flame icon on the display where there was once a snowflake, this indicates that the unit is now in Heat Mode. From this point, you can start cooking.Now for my plus minus:+ The unit is capable of regulating higher temps for sous vide cooking.+ The Johnson Controls Digital Thermostat is cheaper than other control units you may find here on Amazon that are sold as ""for sous vide"" (like the Dorkfoods DSV unit in particular).+ Long cords (this can be hit or miss for some but the long cords help in my kitchen).- Not very user friendly, make sure you have the manual handy. While I found the process easy enough, setting the unit to Heat Mode by opening it up and adjusting small delicate pins can be intimidating and confusing for some (I wish this could have been addressed with a simple switch).Overall:While the design does have an annoying flaw, once in Heat Mode you are left with a product that works great and is also cheaper than most other similar devices on the market. A win.",While sold and advertised as a thermostat control for regulating cooling devices for projects like beer brewing and such the Johnson Controls Digital Thermostat is also capable of a Heat Mode that regulates temps up to Fahrenheit this is great news for anyone that is interested in setting up their own water oven for sous vide cooking In order to do so the unit must be set in Heat Mode it is set to Cooling Mode by default indicated by a small snowflake icon on the display when the unit is on to set the thermostat into Heat Mode you are required to open the unit up with a screwdriver and rearrange small pins from partially connected to fully connected The instruction manual will show you which pins to adjust Once the pins have been adjusted just close the unit up and plug it into whatever device you will be using as your water bath in my case a cleaned out deep fryer and set your desired Set Point SP You will notice that there is a little flame icon on the display where there was once a snowflake this indicates that the unit is now in Heat Mode From this point you can start cooking Now for my plus minus The unit is capable of regulating higher temps for sous vide cooking The Johnson Controls Digital Thermostat is cheaper than other control units you may find here on Amazon that are sold as for sous vide like the Dorkfoods DSV unit in particular Long cords this can be hit or miss for some but the long cords help in my kitchen Not very user friendly make sure you have the manual handy While I found the process easy enough setting the unit to Heat Mode by opening it up and adjusting small delicate pins can be intimidating and confusing for some I wish this could have been addressed with a simple switch Overall While the design does have an annoying flaw once in Heat Mode you are left with a product that works great and is also cheaper than most other similar devices on the market A win,0.039,0.106,0.855,0.9696,False,True
47,I purchased this to replace a Lux Win100. The temperature sensor was to close to the relay on the Lux and would pick up the relay heat. I was using it  with a 12 amp air conditioner and due to the sensor/relay proximity it would not work for me. The Johnson A419 has an extended temperature sensor and there are no problems when using with the same air conditioner. It is VERY accurate and seems more like an industrial product. I couldn't be happier!!!,I purchased this to replace a Lux Win The temperature sensor was to close to the relay on the Lux and would pick up the relay heat I was using it with a amp air conditioner and due to the sensor relay proximity it would not work for me The Johnson A has an extended temperature sensor and there are no problems when using with the same air conditioner It is VERY accurate and seems more like an industrial product I couldn t be happier,0.099,0.032,0.869,-0.6965,True,False
48,I use this to shut off my Mom's heat tapes on the roof when the temp gets above 35 degrees.  Where the tapes are plugged in is too difficult for my 83 year old Mom to get to.,I use this to shut off my Mom s heat tapes on the roof when the temp gets above degrees Where the tapes are plugged in is too difficult for my year old Mom to get to,0.065,0.0,0.935,-0.3612,True,False
49,"I bought this to convert a chest freezer into a beverage center for tailgating and outdoor parties (tired of going through tons of ice) and this works great!  Very high quality that I would expect as this is really an industrial unit.  It's fairly easy to mount but doesn't come with any hardware.  The temperature probe is, if anything, too long.  I can't imagine anyone needing it longer.",I bought this to convert a chest freezer into a beverage center for tailgating and outdoor parties tired of going through tons of ice and this works great Very high quality that I would expect as this is really an industrial unit It s fairly easy to mount but doesn t come with any hardware The temperature probe is if anything too long I can t imagine anyone needing it longer,0.0,0.1,0.9,0.685,False,True
50,"Works really well with my fermenting chamber. Plug and play. I set it to the max anti-short setting so my freezer doesn't cycle on and off too much. The temperature stays within 2-4 degrees, which is acceptable to me since I would rather have a slight variance than burn the motor out on my freezer.",Works really well with my fermenting chamber Plug and play I set it to the max anti short setting so my freezer doesn t cycle on and off too much The temperature stays within degrees which is acceptable to me since I would rather have a slight variance than burn the motor out on my freezer,0.0,0.126,0.874,0.7264,False,True
51,"I have used this device now for almost a year on my Kezzer or converted chest freezer. It was fairly easy to set and to configure. You will need a screw driver and to pay close attention to the instructions ;however, the steps are clear and the use is simple. The temperature probe is durable and the device has worked consistently well for the time t has been in use.",I have used this device now for almost a year on my Kezzer or converted chest freezer It was fairly easy to set and to configure You will need a screw driver and to pay close attention to the instructions however the steps are clear and the use is simple The temperature probe is durable and the device has worked consistently well for the time t has been in use,0.039,0.106,0.854,0.7003,False,True
52,"I purchased this controller from Amazon after the temperature controller on my kegerator went bad and stopped turning on the compressor.This unit was extremely easy to set up. It came with a few pages of instructions for adjusting settings. I spent maybe 10 minutes total.I have the controller mounted on the back of my kegerator with double-sided foam tape and in the position the cables were more than long enough.For the price, you're not going to find a better plug-n-play controller (I've looked).",I purchased this controller from Amazon after the temperature controller on my kegerator went bad and stopped turning on the compressor This unit was extremely easy to set up It came with a few pages of instructions for adjusting settings I spent maybe minutes total I have the controller mounted on the back of my kegerator with double sided foam tape and in the position the cables were more than long enough For the price you re not going to find a better plug n play controller I ve looked,0.062,0.089,0.849,0.3384,False,True
53,"I purchased this to convert a small chest freezer into a refrigerator.  Very simple to do I just mounted the controller on the wall behind the freezer. Plugged the freezer into the thermostat, plugged the thermostat into the wall socket. Place the temperature probe into the freezer, set the thermostat at 38F and it will prevent the freezer from running long enough to freeze. Simply put this thermostat overrides the freezers thermostat.",I purchased this to convert a small chest freezer into a refrigerator Very simple to do I just mounted the controller on the wall behind the freezer Plugged the freezer into the thermostat plugged the thermostat into the wall socket Place the temperature probe into the freezer set the thermostat at F and it will prevent the freezer from running long enough to freeze Simply put this thermostat overrides the freezers thermostat,0.016,0.034,0.95,0.0516,False,False
54,"I bought a chest freezer and I control the temperature with the Johnson Digital Controller. In the Arizona desert, having a place with a constant temperature to place fermenters is  difficult. This product works great for my needs, it is easy to install and to adjust to the temperature I need the freezer to be at for fermenting various beers or using various varieties or yeast.",I bought a chest freezer and I control the temperature with the Johnson Digital Controller In the Arizona desert having a place with a constant temperature to place fermenters is difficult This product works great for my needs it is easy to install and to adjust to the temperature I need the freezer to be at for fermenting various beers or using various varieties or yeast,0.038,0.105,0.857,0.6705,False,True
55,"As a man, though, it was somewhat of an affront to my masculinity as I was required to actually read the manual to discern what the menu display was telling me. Once I figured it out, it's super easy to make small changes to the temperature when needed. I found that I had to do a little trial and error to get to the temperature I needed for my little modified fermentation fridge. For example, I needed to set the thermostat to 70 degrees in order for temperature to hover around 68. Setting it to 70 meant that the second the probe sensed 70 degrees, the fridge would kick on and the probe would register down to about 66 before the fridge shut off. My fridge is a 1 cubic foot dorm fridge that I converted to a fermentation fridge by removing the door and taping a box made out of 1"" styrofoam insulation the size of my carboy to the front of it. Works amazingly well!!! Obviously, your mileage may vary with your fridge. Happy Brewing!!!",As a man though it was somewhat of an affront to my masculinity as I was required to actually read the manual to discern what the menu display was telling me Once I figured it out it s super easy to make small changes to the temperature when needed I found that I had to do a little trial and error to get to the temperature I needed for my little modified fermentation fridge For example I needed to set the thermostat to degrees in order for temperature to hover around Setting it to meant that the second the probe sensed degrees the fridge would kick on and the probe would register down to about before the fridge shut off My fridge is a cubic foot dorm fridge that I converted to a fermentation fridge by removing the door and taping a box made out of styrofoam insulation the size of my carboy to the front of it Works amazingly well Obviously your mileage may vary with your fridge Happy Brewing,0.014,0.08,0.906,0.9122,False,True
56,"I live in the desert of Las Vegas, and my biggest problem when brewing is getting proper temperatures for my brews. In the summer, we lower our A/C when we leave the house, so the house heats up along with my wort. The constant change in temperatures has given me off flavors in my ales. And you could forget about lagering.That's where this little beauty came in handy. I bought a used stand-up freezer and can control the temperature of my brews with it. I put my fermenter in the freezer, set it for the proper temperature range of my yeast, and that it's! It's so easy. I am now lagering in the desert, and I never could have without this item.Most homebrewers face issues with temperature, but if you have an extra fridge or freezer (which I'd reccommend over a fridge), this is just the thing.As a bonus, if you have a freezer converted into a keezer, this little device will allow you to maintain proper temperatures. It's also very energy efficient. I give this little bad boy a big thumbs up!",I live in the desert of Las Vegas and my biggest problem when brewing is getting proper temperatures for my brews In the summer we lower our A C when we leave the house so the house heats up along with my wort The constant change in temperatures has given me off flavors in my ales And you could forget about lagering That s where this little beauty came in handy I bought a used stand up freezer and can control the temperature of my brews with it I put my fermenter in the freezer set it for the proper temperature range of my yeast and that it s It s so easy I am now lagering in the desert and I never could have without this item Most homebrewers face issues with temperature but if you have an extra fridge or freezer which I d reccommend over a fridge this is just the thing As a bonus if you have a freezer converted into a keezer this little device will allow you to maintain proper temperatures It s also very energy efficient I give this little bad boy a big thumbs up,0.054,0.101,0.845,0.8959,False,True
57,"I used this control to turn a chest freezer into a fridge for my home brew corney kegs and it has worked perfectly for over a month now.  I found it to be fairly straightforward on setup.  Just plug the unit into the wall, the freezer into the unit and run the temperature sensor through the freezer top (no need to drill).  It did take a minute or two to review the manual to find out what the abreviations stand for (that flash up on the display) when inputing temperature and freezer run duration etc.  Beyond that is it a simple product that does exactly what I wanted it to do.  It has kept the temperature right where I want it and kept me from having to wire in a new control unit which I wasn't comfortable doing.",I used this control to turn a chest freezer into a fridge for my home brew corney kegs and it has worked perfectly for over a month now I found it to be fairly straightforward on setup Just plug the unit into the wall the freezer into the unit and run the temperature sensor through the freezer top no need to drill It did take a minute or two to review the manual to find out what the abreviations stand for that flash up on the display when inputing temperature and freezer run duration etc Beyond that is it a simple product that does exactly what I wanted it to do It has kept the temperature right where I want it and kept me from having to wire in a new control unit which I wasn t comfortable doing,0.02,0.055,0.925,0.5571,False,True
58,Bought this controller to regulate the temperature in my Keezer.  Took some getting used to in programming the controller.  Depending on how far the probe is in the keezer determines what the temp displays.  I had to play with this some.  Ended up freezing some water in the bottom and freezing the CO2 gauge when the probe was too high up.  Other than that it works well for the application that I need.,Bought this controller to regulate the temperature in my Keezer Took some getting used to in programming the controller Depending on how far the probe is in the keezer determines what the temp displays I had to play with this some Ended up freezing some water in the bottom and freezing the CO gauge when the probe was too high up Other than that it works well for the application that I need,0.038,0.061,0.902,0.4019,False,True
59,"If you are reading this, you are most likely a beer drinker looking to convert a chest freezer into a keg freezer (keezer) draft beer dispenser.  Well, I'm here to tell you that everything you read out there on the interweb that led you to this item is true.  Once you get it set up properly, you will always have a well chilled beer at hand.  And for anyone else who might happen to be looking to use this item for what it was intended for... I can tell you that it keeps my keezer at the temperature that I want it to be.  mmmmmmmmm beer.....",If you are reading this you are most likely a beer drinker looking to convert a chest freezer into a keg freezer keezer draft beer dispenser Well I m here to tell you that everything you read out there on the interweb that led you to this item is true Once you get it set up properly you will always have a well chilled beer at hand And for anyone else who might happen to be looking to use this item for what it was intended for I can tell you that it keeps my keezer at the temperature that I want it to be mmmmmmmmm beer,0.0,0.108,0.892,0.8591,False,True
60,"I have had and have been using this unit for about two months as a temperature controller for a 14.8 cu ft chest freezer turned into a cooler for Cornelius kegs filled with luscious beer.  So far, it works well as described, even if the interface is a bit confusing.  Keep a copy of the instruction's interface page near the unit in order to prevent mistakes in programing.If you need a temperature controller in this product's description, get this.",I have had and have been using this unit for about two months as a temperature controller for a cu ft chest freezer turned into a cooler for Cornelius kegs filled with luscious beer So far it works well as described even if the interface is a bit confusing Keep a copy of the instruction s interface page near the unit in order to prevent mistakes in programing If you need a temperature controller in this product s description get this,0.058,0.042,0.899,-0.296,True,False
61,this is my second one of these. so much more accurate than the analog dial type. the setting are easy and clear. the range is broad. i use mine with an upright freezer for fridge to freeze temp ranges. great value for the features and quality.Nov 15th updatei bought a 2nd one for a chest freezer. works great but since chest freezers have no fans it is not able to hit target temps as accurately. the range is fantastic though. still ove this.,this is my second one of these so much more accurate than the analog dial type the setting are easy and clear the range is broad i use mine with an upright freezer for fridge to freeze temp ranges great value for the features and quality Nov th updatei bought a nd one for a chest freezer works great but since chest freezers have no fans it is not able to hit target temps as accurately the range is fantastic though still ove this,0.043,0.181,0.776,0.891,False,True
62,"So I waited months before writing a review on this little unit. It's being used to convert a bench freezer into Kegerator. It works great and was already in the correct mode when I received it. All I had to do was set the temp and run the sensor into the freezer. The construction is great, mounting was easy, and it has not given me any issues at all. If anyone is trying to convert a freezer into a fridge or kegerator this is a must have.",So I waited months before writing a review on this little unit It s being used to convert a bench freezer into Kegerator It works great and was already in the correct mode when I received it All I had to do was set the temp and run the sensor into the freezer The construction is great mounting was easy and it has not given me any issues at all If anyone is trying to convert a freezer into a fridge or kegerator this is a must have,0.0,0.127,0.873,0.9022,False,True
63,"Super simple to use, but understanding the abbreviations is unintuitive because the display can only show two characters. There are a lot more settings than I needed. For the record, SP stands for Set Point and is the temperature you want. The device displys the current temperature.",Super simple to use but understanding the abbreviations is unintuitive because the display can only show two characters There are a lot more settings than I needed For the record SP stands for Set Point and is the temperature you want The device displys the current temperature,0.0,0.083,0.917,0.4404,False,True
64,"If you are looking for a control unit for your freezer to make it a kegerator this is perfect. Some of the analog units are cheaper but I prefer the digital display/control and for a few extra bucks it is worth the piece of mind.  Johnson was even nice enough to have it programmed for kegerator duty out of the box, I just reviewed the settings and pressed on with the install.",If you are looking for a control unit for your freezer to make it a kegerator this is perfect Some of the analog units are cheaper but I prefer the digital display control and for a few extra bucks it is worth the piece of mind Johnson was even nice enough to have it programmed for kegerator duty out of the box I just reviewed the settings and pressed on with the install,0.0,0.116,0.884,0.8126,False,True
65,"I use this to convert an upright freezer to a refrigerator. The freezer came with the house we bought, and we didn't have a need for a 6' freezer, but did have a use for a second fridge. It's currently doing duty as a beer fridge keeping everything at a nice 40 degrees F.",I use this to convert an upright freezer to a refrigerator The freezer came with the house we bought and we didn t have a need for a freezer but did have a use for a second fridge It s currently doing duty as a beer fridge keeping everything at a nice degrees F,0.0,0.076,0.924,0.5719,False,True
66,"Does what it's supposed to, controls a heater or cooler in response to temperature. If you take the time to read the manual, it is easy to set the jumpers to select heating/cooling. The front panel allows setting the activation setpoint and differential even on-the-fly, this too is easy. I used it to control a heater in a hotbox, absolutely reliable. I could have purchased the A419 control and wired it in myself, saving a measley $19, but why? This has the socket and plug already wired in, perfect for my application.",Does what it s supposed to controls a heater or cooler in response to temperature If you take the time to read the manual it is easy to set the jumpers to select heating cooling The front panel allows setting the activation setpoint and differential even on the fly this too is easy I used it to control a heater in a hotbox absolutely reliable I could have purchased the A control and wired it in myself saving a measley but why This has the socket and plug already wired in perfect for my application,0.0,0.097,0.903,0.8381,False,True
67,I made a fermenting chamber out of a Danby 7.0 Cu ft chest freezer. So far this is working great.  I live in FL and the temps always go wacky so I need something consistent for brewing purposes.  This has been holding ambient ten at about 68 degrees.  perfect for ales.  I can't wait to drop it down a notch for lagers. Cheers!,I made a fermenting chamber out of a Danby Cu ft chest freezer So far this is working great I live in FL and the temps always go wacky so I need something consistent for brewing purposes This has been holding ambient ten at about degrees perfect for ales I can t wait to drop it down a notch for lagers Cheers,0.0,0.2,0.8,0.9187,False,True
68,Im a snowbird and i use this controll to operate a battery heater between two paving blocks in a small freezer to create a no freeze zone to store freeze sensitive foods while im gone for the winter.when i return i revert freezer to its original purpose.pavers act as thermal storage in case of power failures.,Im a snowbird and i use this controll to operate a battery heater between two paving blocks in a small freezer to create a no freeze zone to store freeze sensitive foods while im gone for the winter when i return i revert freezer to its original purpose pavers act as thermal storage in case of power failures,0.127,0.122,0.751,-0.3182,True,False
69,"The two things preventing me from giving this product 5 stars are the following:-I've only owned it for a few days so I'm not sure how well it will hold up, though I have no reason to believe it won't last for a long time.-The instructions could have been a bit clearer; I didn't understand the difference between the ""cut in"" and ""cut out"" settings.After doing some research I was able to find a few threads on home brew forums that clearly described the differences between the cut in and cut out settings.In cooling mode, with ""cut in"" selected, the unit will supply power starting at the set point and will cut off after it senses the temperature has hit the set point minus the differential. So if you set your temp to 40F and you have a differential of 4F, the unit will supply power starting at 40F and then stop supplying power at 36F.In ""cut out "" mode, the unit would supply power starting at 44F and then stop supplying power at 40F.As I am neither a controls expert nor HVAC professional, It took me a while to come to this understanding.The details of how to change all the settings are very clearly explained in the instructions ([...] what all the settings mean aren't.Overall, it seems to be a great product, and many people have used it to great success. It is keeping my keg-orator at a nice temperature right now and I don't have to worry about it freezing up due to a poorly set thermostat.",The two things preventing me from giving this product stars are the following I ve only owned it for a few days so I m not sure how well it will hold up though I have no reason to believe it won t last for a long time The instructions could have been a bit clearer I didn t understand the difference between the cut in and cut out settings After doing some research I was able to find a few threads on home brew forums that clearly described the differences between the cut in and cut out settings In cooling mode with cut in selected the unit will supply power starting at the set point and will cut off after it senses the temperature has hit the set point minus the differential So if you set your temp to F and you have a differential of F the unit will supply power starting at F and then stop supplying power at F In cut out mode the unit would supply power starting at F and then stop supplying power at F As I am neither a controls expert nor HVAC professional It took me a while to come to this understanding The details of how to change all the settings are very clearly explained in the instructions [ ] what all the settings mean aren t Overall it seems to be a great product and many people have used it to great success It is keeping my keg orator at a nice temperature right now and I don t have to worry about it freezing up due to a poorly set thermostat,0.102,0.091,0.807,0.6207,False,True
